fiscalyear,school,from_full,to_full,total_trips,total_emissions
FY17-18,101.0,"Beijing, CN","Seoul, KR",2,218.45009676
FY17-18,101.0,"Beijing, CN","Shanghai, CN",1,130.28987914
FY17-18,101.0,"Beijing, CN","Washington, DISTRICT OF COLUMBIA, US",7,8544.319918399999
FY17-18,101.0,"Beirut, LB","Frankfurt, DE",2,623.39924208
FY17-18,101.0,"Bermuda, BM","Boston, MASSACHUSETTS, US",2,301.14906196
FY17-18,101.0,"Bermuda, BM","Philadelphia, PENNSYLVANIA, US",2,305.440046
FY17-18,101.0,"Birmingham, ALABAMA, US","Tampa, FLORIDA, US",2,179.05106146
FY17-18,101.0,"Bogota, CO","Atlanta, GEORGIA, US",2,744.399549
FY17-18,101.0,"Bogota, CO","Bucaramanga, CO",1,43.03231038
FY17-18,101.0,"Bogota, CO","Miami, FLORIDA, US",1,267.29746163
FY17-18,101.0,"Bologna, IT","Munich, DE",1,63.46664771
FY17-18,101.0,"Boston, MASSACHUSETTS, US","Baltimore, MARYLAND, US",44,3158.16425584
FY17-18,101.0,"Boston, MASSACHUSETTS, US","Dublin, IE",1,527.51888192
FY17-18,101.0,"Boston, MASSACHUSETTS, US","Houston, TEXAS, US",3,845.9407422300001
FY17-18,101.0,"Boston, MASSACHUSETTS, US","Nantucket, MASSACHUSETTS, US",1,21.63635718
FY17-18,101.0,"Boston, MASSACHUSETTS, US","New York, NEW YORK, US",3,132.70299065999998
FY17-18,101.0,"Boston, MASSACHUSETTS, US","Philadelphia, PENNSYLVANIA, US",2,134.14541448
FY17-18,101.0,"Boston, MASSACHUSETTS, US","Washington, DISTRICT OF COLUMBIA, US",1,77.62780224
FY17-18,101.0,"Brussels, BE","Milan, IT",1,85.03950195
FY17-18,101.0,"Bucaramanga, CO","Panama City, PA",1,86.59985979
FY17-18,101.0,"Bucharest, RO","Frankfurt, DE",1,175.54025633
FY17-18,101.0,"Buenos Aires, AR","Atlanta, GEORGIA, US",1,886.98178201
FY17-18,101.0,"Burbank, CALIFORNIA, US","San Jose, CALIFORNIA, US",1,71.15957471
FY17-18,101.0,"Burlington, VERMONT, US","Philadelphia, PENNSYLVANIA, US",1,65.3399843
FY17-18,101.0,"Cali, CO","Medellin, CO",1,46.15756197
FY17-18,101.0,"Cartagena, CO","Bogota, CO",3,238.14961442999999
FY17-18,101.0,"Charleston, SOUTH CAROLINA, US","Baltimore, MARYLAND, US",3,276.18333663
FY17-18,101.0,"Charlotte, NORTH CAROLINA, US","Baltimore, MARYLAND, US",6,421.29661518
FY17-18,101.0,"Charlotte, NORTH CAROLINA, US","Mexico City, MX",1,274.37350297
FY17-18,101.0,"Charlotte, NORTH CAROLINA, US","Savannah, GEORGIA, US",2,102.41209062
FY17-18,101.0,"Chicago, ILLINOIS, US","Baltimore, MARYLAND, US",35,4193.46167905
FY17-18,101.0,"Chicago, ILLINOIS, US","Boston, MASSACHUSETTS, US",1,168.32360134
FY17-18,101.0,"Chicago, ILLINOIS, US","Burlington, VERMONT, US",1,148.23399423
FY17-18,101.0,"Chicago, ILLINOIS, US","Harrisburg, PENNSYLVANIA, US",1,115.46647972
FY17-18,101.0,"Chicago, ILLINOIS, US","Hong Kong, HK",1,1375.40553552
FY17-18,101.0,"Chicago, ILLINOIS, US","Madison, WISCONSIN, US",1,25.96362861
FY17-18,101.0,"Chicago, ILLINOIS, US","Minneapolis/St Paul, MINNESOTA, US",1,64.94989484
FY17-18,101.0,"Chicago, ILLINOIS, US","Oakland, CALIFORNIA, US",1,325.14409959
FY17-18,101.0,"Chicago, ILLINOIS, US","Philadelphia, PENNSYLVANIA, US",3,394.96557674999997
FY17-18,101.0,"Chicago, ILLINOIS, US","San Francisco, CALIFORNIA, US",3,979.8548246099999
